,Descripcion,Clave,Cantidad,Valor unitario
0,BOLSA KRAFT GIGANTE  SIN ASIGNAR,14111601,6.00,14.3400
1,BOLSA KRAFT GRANDE 060904  SIN ASIGNAR,14111601,5.00,8.8400
2,BOLSA KRAFT GRANDE  DIPAK,14111601,5.00,13.8200
3,BOLSA KRAFT CHICA  DIPAK,14111601,5.00,8.6300
4,BOLSA KRAFT MEDIANA  DIPAK,14111601,5.00,10.5200
5,CUADERNO PROFESIONAL 100H SERIE 3 DIS C5  SCRIBE,14111514,6.00,32.2100
6,CUADERNO PROFESIONAL 100H SERIE 3 DIS C7  SCRIBE,14111601,6.00,32.2100
7,PAPEL CHINA COLIBRI 1206 ROJO BANDERA  COLIBRI,60121117,100.00,0.8800
8,COMANDA 1/4 CARTA (DUPLICADO) 50JGS C07  FORMITEC,14111514,10.00,12.7600
9,GLOBO PAYASO C/100 NO. 14  PAYASO,60141001,1.00,132.6700
10,SERPENTINA ECONOMICA  SIN ASIGNAR,60111400,10.00,6.7200
11,LISTON CELOMAGICO MEDIANO C/50 20 ROSA MEXICANO  CELOMAGICO,60123204,1.00,28.0200
12,LISTON CELOMAGICO MEDIANO C/50 02 ROJO  CELOMAGICO,60123204,2.00,28.0200
13,LISTON CELOMAGICO MEDIANO C/50 23 SOLFERINO  CELOMAGICO,60123204,1.00,28.0200
14,LISTON CELOMAGICO MEDIANO C/50 MATE  CELOMAGICO,60123204,4.00,41.0100
15,LISTON CELOMAGICO MEDIANO C/50 14 SALMON  CELOMAGICO,60123204,1.00,28.0200
16,LISTON CELOMAGICO MEDIANO C/50 ABANICO ROJO  JANEL,60123204,2.00,24.7800
17,LISTON CELOMAGICO GIGANTE C/50 SURTIDO CLARO  CELOMAGICO,60123204,1.00,68.0600
18,CONFETTI ECONOMICO CHICO 200GRS  SIN ASIGNAR,60121115,3.00,7.5600
19,CAJA CUBO 30X30CMS  RIARCO,14111601,3.00,46.8800
20,PELOTA PAYASO SURTIDA DECORADA NO.22 1/2  PAYASO,60141001,2.00,56.7500
